	stage	replicate	quality	ID	safeID	input	genesDetected	embryoGenesDetected	pgExpected	embryoPgExpected
st411	1-cell	1	Use	P0	P0	150.17667759	4920	4920	5.69161283670107	5.69161283670107
st413	1-cell	2	Use	P0	P0	219.5916752316	4967	4967	6.39705398303348	6.39705398303348
st415	1-cell	3	Toss	tossed	NA	481.9002720888	4534	4534	22.0447185009036	22.0447185009036
st441	1-cell	4	Use	P0	P0	78.8705662306	4866	4866	2.40532368350398	2.40532368350398
st449	1-cell	5	Use	P0	P0	95.17864099704	4797	4797	3.28700888764212	3.28700888764212
st451	1-cell	6	Use	P0	P0	148.1743218888	4852	4852	4.41093208746823	4.41093208746823
st265	2-cell	1	Use	AB	AB	55.9917983113333	4615	5205	1.7364338431648	3.21715443790883
st266	2-cell	1	Use	P1	P1	45.6901164546545	4322	5205	1.48072059474404	3.21715443790883
st301	2-cell	2	Use	AB	AB	175.762333772	4722	5135	6.36240631774406	10.2947274430463
st302	2-cell	2	Use	P1	P1	131.6548873539	4647	5135	3.93232112530226	10.2947274430463
st311	2-cell	3	Use	AB	AB	107.72673672456	4608	5007	3.58699130124612	6.22647354318174
st312	2-cell	3	Use	P1	P1	77.2337199034286	4536	5007	2.63948224193561	6.22647354318174
st361	2-cell	4	Use	AB	AB	86.9912310188	4684	5238	2.95431976265808	5.90089645553936
st362	2-cell	4	Use	P1	P1	91.6633943216	4444	5238	2.94657669288128	5.90089645553936
st409	2-cell	5	Use	AB	AB	95.71260251736	4895	5350	3.36745619284974	3.65945473764274
st410	2-cell	5	Use	P1	P1	9.43214922407368	4269	5350	0.291998544793007	3.65945473764274
st193	4-cell	1	Use	EMS	EMS	41.1039128663	4641	6015	0.331258641438616	1.42734520572512
st194	4-cell	1	Use	ABa	ABa	62.783540050529	4833	6015	0.508114445430669	1.42734520572512
st195	4-cell	1	Use	ABp	ABp	50.4453120512842	4683	6015	0.405639737688021	1.42734520572512
st196	4-cell	1	Use	P2	P2	22.746760765632	4133	6015	0.182332381167817	1.42734520572512
st305	4-cell	2	Use	EMS	EMS	88.1036508528	4626	5924	2.68799589732873	9.70203741408894
st306	4-cell	2	Use	ABa	ABa	49.79191176984	4261	5924	1.55899464416395	9.70203741408894
st307	4-cell	2	Use	ABp	ABp	77.1383696319429	3994	5924	2.72643506403833	9.70203741408894
st308	4-cell	2	Use	P2	P2	77.9965220753143	4348	5924	2.72861180855793	9.70203741408894
st333	4-cell	3	Use	ABp	ABp	47.0250202554545	4415	5961	1.56726012984818	5.68716232851348
st334	4-cell	3	Use	ABa	ABa	51.99450304116	4521	5961	1.741402112284	5.68716232851348
st335	4-cell	3	Use	EMS	EMS	41.5873876403077	4558	5961	1.36006426176348	5.68716232851348
st336	4-cell	3	Use	P2	P2	30.3886924064471	4219	5961	1.01843582461781	5.68716232851348
st363	4-cell	4	Use	ABa	ABa	30.7420492948941	4206	5481	1.02870906292861	3.14845677876187
st364	4-cell	4	Use	EMS	EMS	20.1262419197538	3724	5481	0.647607022032973	3.14845677876187
st365	4-cell	4	Use	ABp	ABp	29.2937222953333	3748	5481	0.954278345852969	3.14845677876187
st366	4-cell	4	Use	P2	P2	16.060561353375	3432	5481	0.517862347947318	3.14845677876187
st405	4-cell	5	Use	ABp	ABp	16.1671682541333	4094	5840	0.514053618111474	2.92782032973535
st406	4-cell	5	Use	EMS	EMS	19.43953659915	4208	5840	0.609818090478087	2.92782032973535
st407	4-cell	5	Use	ABa	ABa	23.2203003244421	4253	5840	0.725218823740826	2.92782032973535
st408	4-cell	5	Use	P2	P2	34.1353971918857	4310	5840	1.07872979740496	2.92782032973535
st225	8-cell	1	Use	ABpl	ABpl	49.85865695988	3978	6399	1.5502980529354	5.38189655419033
st226	8-cell	1	Use	ABal	ABal	15.3513937092	3240	6399	0.454796466243795	5.38189655419033
st227	8-cell	1	Use	ABar	ABar	10.174571652439	2996	6399	0.308612499333268	5.38189655419033
st228	8-cell	1	Use	ABpr	ABpr	12.2847228154703	2442	6399	0.381317862504097	5.38189655419033
st229	8-cell	1	Toss	MS	MS	0.360256465069456	444	6399	0.00653721795079207	5.38189655419033
st230	8-cell	1	Use	C	C	11.8698202827892	3247	6399	0.375146845054316	5.38189655419033
st231	8-cell	1	Use	E	E	25.8198498312632	3398	6399	0.827729313037572	5.38189655419033
st232	8-cell	1	Use	P3	P3	44.6636563351	3350	6399	1.4774582971311	5.38189655419033
st337	8-cell	2	Use	ABal	ABal	18.1642267180286	3914	7068	0.573443367123319	5.33508167204748
st338	8-cell	2	Use	ABar	ABar	20.771103140448	3860	7068	0.664014562801217	5.33508167204748
st339	8-cell	2	Use	ABpr	ABpr	19.3808255523556	3585	7068	0.617367687357355	5.33508167204748
st340	8-cell	2	Use	ABpl	ABpl	22.6643449657565	3853	7068	0.721616973313961	5.33508167204748
st341	8-cell	2	Use	C	C	30.1465775014	4185	7068	0.964850088239387	5.33508167204748
st342	8-cell	2	Use	MS	MS	17.9981857280276	3654	7068	0.566072084759188	5.33508167204748
st343	8-cell	2	Use	E	E	15.9111920772774	3614	7068	0.50550765532273	5.33508167204748
st344	8-cell	2	Use	P3	P3	21.9146707298	3764	7068	0.722209253130328	5.33508167204748
