	ABala	ABalp	ABara	ABarp	ABpla	ABplp	ABpra	ABprp	MSa	MSp	Ea	Ep	Ca	Cp	D	P4
ring ganglia	18.5	10.75	4	6.5	6.5	7	20	14.5	2	2	0	0	0	0	0	0
ventral	0	1.75	2.25	0	0	3.5	0	12	0	0	0	0	0	0	0	0
misc neurons	1	0	1.25	2	4.5	8.5	11	24	0	0	0	0	2	0	0	0
apoptosis	12.5	9.5	5.75	1.5	3	5	11	7.5	4	11	0	0	1	0	0	0
pharynx	0	6.75	16.25	0	0	0	0	0	11	19	0	0	0	0	0	0
arcade	0	2	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0
hypodermis	0	1.5	1	22	16.5	1	22	1	0	0	0	0	5	1	0	0
excretory	0	0	0	0	1	7	0	7	0	0	0	0	0	0	0	0
valve	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
muscle	0	0	0	0	0	0	0	1	11	28	0	0	8	1	1	0
ceolomocyte	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0
distal tip	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0
head meso	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
intestine	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
germ line	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
total	32	32.25	33	32	31.5	32	64	67	32	64	1	1	16	2	1	1
