	st411	st413	st415	st441	st449	st451	st265	st266	st301	st302	st311	st312	st361	st362	st409	st410	st193	st194	st195	st196	st305	st306	st307	st308	st333	st334	st335	st336	st363	st364	st365	st366	st405	st406	st407	st408	st225	st226	st227	st228	st229	st230	st231	st232	st337	st338	st339	st340	st341	st342	st343	st344	st369	st370	st371	st372	st373	st374	st375	st376	st393	st394	st395	st396	st397	st398	st399	st400	st417	st418	st419	st420	st421	st422	st423	st424	st481	st482	st483	st484	st485	st486	st487	st488	st249	st250	st251	st252	st253	st254	st255	st256	st257	st258	st259	st260	st261	st262	st263	st264	st313	st314	st315	st316	st317	st318	st319	st320	st321	st322	st323	st324	st325	st327	st328	st345	st346	st347	st348	st349	st350	st351	st352	st353	st354	st355	st356	st357	st358	st359	st360	st377	st378	st379	st380	st381	st382	st383	st385	st386	st387	st388	st389	st390	st391	st392	st425	st426	st427	st428	st429	st430	st431	st432	st433	st434	st435	st436	st437	st438	st439	st440	st527	st528	st529	st530	st531	st532	st533	st535	st536	st537	st538	st539	st540	st541	st542	st465	st466	st467	st468	st469	st470	st471	st472	st473	st474	st475	st476	st477	st478	st479	st505	st506	st507	st508	st509	st510	st513	st514	st515	st516	st517	st518	st519	st520	st554	st555	st556	st557	st558	st561	st562	st563	st564	st565	st566	st567	st568
ERCC-00002	1904	2130	239	4157	3535	1642	4060	4178	967	1371	1295	1518	2208	2618	2249	16180	31148	25462	15067	25911	2285	3599	2275	2365	2750	3299	3630	4473	6542	11768	7352	10464	12020	12460	9102	6131	2731	3362	9803	6338	28269	10065	5449	3817	9973	7667	7289	8016	7191	7199	7329	6406	8427	12788	7494	6778	9011	12013	7250	19598	8698	14836	6784	7776	15195	15426	19399	21791	45163	49924	39376	43151	41818	40677	49799	38084	6816	15652	7289	7277	20660	17637	17977	17635	10787	22499	15183	15478	5321	17366	23606	11010	12481	43279	30091	39160	26444	122	9257	30626	4725	6069	17357	5738	6199	17752	9762	5853	7669	12252	6333	5610	24648	47966	4958	3670	12463	14550	6112	4181	11122	12361	22263	54607	17348	29083	7533	5226	24665	25114	18681	38100	41904	33686	17852	48376	33641	37190	36866	42834	19382	54885	33502	45055	38864	37731	24140	18689	42434	45678	37944	34877	18360	33963	31924	19385	33216	29689	33138	29269	33576	49775	32871	20410	22737	11786	10519	31459	41162	9099	9235	7242	14668	9017	17851	12323	9479	19869	11996	4601	11680	8161	10491	16303	7241	11173	11058	13485	23234	25395	8327	14650	51483	12435	26253	30758	29747	23552	31311	61786	66656	42202	34154	65358	21372	18644	1493	3188	11666	1613	794	786	906	1227	1179	3414	1043	1019	1456
ERCC-00003	248	180	7	755	617	171	514	963	110	209	159	169	201	241	233	2060	3689	3094	2092	2832	368	729	364	426	386	374	742	882	578	1393	1325	1132	2255	2155	1423	1406	539	645	1261	1129	5503	1542	905	501	1522	1256	836	906	950	830	1278	850	917	1023	240	682	739	701	841	1035	1475	2371	1191	1143	1632	1982	2593	3433	5403	5867	4805	5160	5342	4727	5607	5182	1146	1409	1008	981	1832	3235	2922	22	1383	3743	1922	1999	1185	2125	3272	1933	1478	3929	3689	3952	3933	8	1687	4946	758	1004	2237	1036	1264	1777	1428	957	983	1211	804	130	2020	3263	453	314	1668	2615	854	377	1867	2419	3924	8413	2130	3215	691	823	3596	2916	4270	2136	6250	3529	1803	5368	4453	5069	3369	3549	1651	6749	4161	4051	5070	4363	3485	2923	5597	5781	5399	4740	1584	4183	3969	2235	4263	4517	3092	8035	6038	7430	4483	4619	2729	1410	891	3657	7757	1287	998	652	1780	1522	2295	2062	1357	2221	2227	450	3229	1168	2033	2293	827	1223	1362	1199	3080	2518	1058	2912	3232	1623	2952	2596	3424	2509	2714	8626	9805	3146	3690	4676	3189	2818	7	22	996	2	26	5	237	9	0	3105	30	397	13
ERCC-00004	509	552	314	739	865	539	2663	1907	311	422	463	484	866	674	853	6654	10549	7427	4341	6930	611	828	589	589	949	875	1113	1401	2312	3491	2250	3813	3582	3122	3038	1814	1034	1014	4121	2382	12029	4473	1881	1065	2767	1689	1812	1772	1609	2003	2114	1707	2015	3611	1704	1904	2259	3065	1996	6480	2292	4398	1582	2185	4189	3670	9942	6926	13748	14747	11116	11854	11576	14097	14243	10418	1150	3207	1360	810	3728	4324	3888	6303	3511	7437	3056	4003	1513	4913	10503	3358	3325	10974	7804	11160	7325	31	2836	12480	1157	1677	4556	1581	1717	5802	2260	1473	1494	2987	1248	1244	5305	15926	1263	685	2360	3944	1179	901	3009	2748	6855	18438	5137	6393	1569	1321	8032	6114	8051	15994	12905	6932	3714	14852	8706	12752	7974	10731	4066	13848	6567	12386	9158	7081	6080	5454	12059	14137	12229	17778	7043	16324	9712	5819	10464	11301	10471	16517	12534	16731	7886	6239	4002	2718	1964	7051	10732	1733	1365	1298	2478	1345	4634	3063	1710	4114	2793	830	4086	2071	1744	6149	2423	2852	3135	3296	6880	5935	1455	6436	11802	2962	6122	6166	8329	4878	7016	18831	17718	8730	7669	13087	5860	3795	688	3822	8301	1222	1085	502	380	1400	668	3992	925	1673	8625
ERCC-00009	510	304	168	1189	505	328	593	382	270	400	208	307	443	549	274	2341	4335	2315	1706	3061	386	608	702	593	685	609	762	631	1064	1474	1002	1184	1475	2009	1023	493	364	129	2212	938	2892	1328	702	78	820	1224	980	1287	1575	956	736	856	1144	824	917	677	126	1313	1455	1283	1363	2106	1271	677	1264	1699	2034	1734	5797	5979	5527	5705	5950	4959	7485	5107	1835	699	1738	31	4168	3327	3718	973	1832	2704	1978	1718	729	1371	2517	938	1235	5171	3166	1470	2020	5	1197	3398	967	1597	1635	505	1223	3041	1350	751	1346	1543	1010	977	3329	4357	68	906	1844	2221	687	711	2219	1592	3164	2137	1970	4870	1833	890	1350	2871	3161	5475	6895	2256	3127	3940	3709	1193	3331	6424	1757	5960	2102	4488	3038	3466	4399	2620	4423	4833	3159	3420	1516	3976	3401	2852	3649	4376	3749	4422	3049	5076	4017	3343	2654	1830	1795	3435	3002	1418	1300	1148	2043	1219	2240	1195	1781	2555	2239	1098	2459	1272	1719	930	886	1372	1858	2765	28	688	23	3415	9033	1612	2541	4488	2420	2471	5423	9774	1306	7188	114	6994	3367	2635	12	32	1532	1185	12	0	30	11	1	6	29	12	262
ERCC-00012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00013	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	699	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00014	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	648	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00019	0	1	0	0	47	0	0	0	32	0	26	28	0	119	0	0	414	126	0	159	1	0	129	0	83	0	0	9	171	323	0	365	0	1	227	0	1	0	2	0	0	0	1	1	55	0	0	183	0	146	159	0	0	0	0	235	0	0	1	0	0	0	0	329	0	0	0	0	519	529	257	388	318	353	428	388	3	1161	0	0	0	1	0	1	1	0	245	532	210	1	3	324	0	0	0	924	900	2	0	0	17	4	461	0	0	0	0	284	3	386	0	440	0	854	80	64	252	0	354	0	0	0	181	1	0	564	140	1	0	0	529	0	0	0	1	834	638	418	0	0	567	1182	1	707	849	0	1	0	1	20	708	812	736	746	1	2	800	0	788	106	799	2	0	2	388	2	201	654	1	0	0	162	346	1	0	0	0	0	0	0	8	0	0	0	0	0	4	0	0	1240	2	1	0	0	584	1	0	2	1	0	4	2	1	1237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
