	mapNames	designNames	safeDesignNames
1	P0	P0	P0
2	ABpla	ABplx	ABplx
3	Cp	Cx2	Cx
4	D	D	D
5	Ep	Ep	Ex
6	Ea	Ea	Ex
7	MSp	MSx2	MSx
8	ABara	ABarx	ABarx
9	MSa	MSx1	MSx
10	ABala	ABalx	ABalx
11	P4	P4	P4
12	Ca	Cx1	Cx
13	ABplp	ABplx	ABplx
14	ABalp	ABalx	ABalx
15	MS	MS	MS
16	ABar	ABar	ABar
17	ABal	ABal	ABal
18	ABpr	ABpr	ABpr
19	C	C	C
20	E	E	E
21	ABpl	ABpl	ABpl
22	P3	P3	P3
23	ABp	ABp	ABp
24	ABa	ABa	ABa
25	P2	P2	P2
26	EMS	EMS	EMS
27	P1	P1	P1
28	AB	AB	AB
29	ABarp	ABarx	ABarx
30	ABprp	ABprx	ABprx
31	ABpra	ABprx	ABprx
32	ABdiv	NA	NA
33	P0div	NA	NA
34	ABaDiv	NA	NA
35	ABalDiv	NA	NA
36	ABarDiv	NA	NA
37	ABpDiv	NA	NA
38	ABplDiv	NA	NA
39	ABprDiv	NA	NA
40	P1div	NA	NA
41	EMSdiv	NA	NA
42	P2div	NA	NA
43	MSdiv	NA	NA
44	Ediv	NA	NA
45	Cdiv	NA	NA
46	P3div	NA	NA
47	ABprpDiv	NA	NA
48	ABpraDiv	NA	NA
49	ABplpDiv	NA	NA
50	ABplaDiv	NA	NA
51	ABarpDiv	NA	NA
52	ABaraDiv	NA	NA
53	ABalpDiv	NA	NA
54	ABalaDiv	NA	NA
