	long	lat	id
1	3946	14875	P0
2	3942	14796	P0
3	3932	14718	P0
4	3915	14642	P0
5	3891	14567	P0
6	3861	14494	P0
7	3825	14423	P0
8	3783	14353	P0
9	3736	14287	P0
10	3683	14222	P0
11	3624	14160	P0
12	3561	14100	P0
13	3493	14044	P0
14	3420	13990	P0
15	3343	13939	P0
16	3262	13892	P0
17	3177	13847	P0
18	3088	13807	P0
19	2995	13770	P0
20	2899	13737	P0
21	2800	13707	P0
22	2698	13682	P0
23	2594	13661	P0
24	2486	13645	P0
25	2265	13625	P0
26	2152	13623	P0
27	1927	13633	P0
28	1817	13645	P0
29	1710	13661	P0
30	1605	13682	P0
31	1503	13707	P0
32	1404	13737	P0
33	1308	13770	P0
34	1216	13807	P0
35	1127	13847	P0
36	1042	13892	P0
37	960	13939	P0
38	883	13990	P0
39	811	14044	P0
40	742	14100	P0
41	679	14160	P0
42	621	14222	P0
43	568	14287	P0
44	520	14353	P0
45	479	14423	P0
46	443	14494	P0
47	413	14567	P0
48	389	14642	P0
49	372	14718	P0
50	361	14796	P0
51	358	14875	P0
52	361	14954	P0
53	372	15032	P0
54	389	15109	P0
55	413	15184	P0
56	443	15257	P0
57	568	15464	P0
58	621	15528	P0
59	679	15591	P0
60	742	15650	P0
61	811	15707	P0
62	883	15761	P0
63	960	15811	P0
64	1042	15859	P0
65	1127	15903	P0
66	1216	15944	P0
67	1308	15981	P0
68	1404	16014	P0
69	1503	16043	P0
70	1605	16068	P0
71	1710	16089	P0
72	1817	16106	P0
73	1927	16118	P0
74	2038	16125	P0
75	2152	16127	P0
76	2265	16125	P0
77	2377	16118	P0
78	2486	16106	P0
79	2594	16089	P0
80	2698	16068	P0
81	2800	16043	P0
82	2899	16014	P0
83	2995	15981	P0
84	3088	15944	P0
85	3177	15903	P0
86	3262	15859	P0
87	3343	15811	P0
88	3420	15761	P0
89	3561	15650	P0
90	3624	15591	P0
91	3683	15528	P0
92	3736	15464	P0
93	3783	15397	P0
94	3825	15328	P0
95	3861	15257	P0
96	3891	15184	P0
97	3915	15109	P0
98	3932	15032	P0
99	3942	14954	P0
100	3946	14875	P0
101	2466	1998	ABpla
102	2481	1997	ABpla
103	2523	2067	ABpla
104	2553	2139	ABpla
105	2571	2213	ABpla
106	2576	2287	ABpla
107	2567	2360	ABpla
108	2543	2431	ABpla
109	2509	2490	ABpla
110	2467	2541	ABpla
111	2415	2585	ABpla
112	2357	2620	ABpla
113	2292	2646	ABpla
114	2222	2664	ABpla
115	2148	2673	ABpla
116	2072	2672	ABpla
117	1993	2662	ABpla
118	1914	2642	ABpla
119	1835	2612	ABpla
120	1761	2573	ABpla
121	1693	2526	ABpla
122	1634	2474	ABpla
123	1541	2355	ABpla
124	1486	2225	ABpla
125	1473	2158	ABpla
126	1472	2091	ABpla
127	1482	2025	ABpla
128	1505	1961	ABpla
129	1540	1899	ABpla
130	1586	1845	ABpla
131	1642	1801	ABpla
132	1705	1766	ABpla
133	1775	1740	ABpla
134	1850	1724	ABpla
135	1929	1718	ABpla
136	2011	1723	ABpla
137	2047	1782	ABpla
138	2090	1835	ABpla
139	2140	1882	ABpla
140	2196	1922	ABpla
141	2257	1954	ABpla
142	2323	1978	ABpla
143	2393	1993	ABpla
144	2466	1998	ABpla
145	3820	2344	Cp
146	3758	2384	Cp
147	3692	2413	Cp
148	3626	2431	Cp
149	3559	2438	Cp
150	3495	2435	Cp
151	3434	2421	Cp
152	3378	2396	Cp
153	3328	2361	Cp
154	3286	2316	Cp
155	3254	2262	Cp
156	3235	2204	Cp
157	3228	2143	Cp
158	3232	2080	Cp
159	3247	2017	Cp
160	3307	2023	Cp
161	3364	2018	Cp
162	3418	2003	Cp
163	3468	1980	Cp
164	3513	1949	Cp
165	3554	1911	Cp
166	3588	1866	Cp
167	3635	1762	Cp
168	3706	1703	Cp
169	3762	1710	Cp
170	3816	1726	Cp
171	3865	1750	Cp
172	3909	1783	Cp
173	3946	1824	Cp
174	3977	1877	Cp
175	3997	1935	Cp
176	4004	1996	Cp
177	4000	2059	Cp
178	3985	2121	Cp
179	3959	2183	Cp
180	3923	2241	Cp
181	3876	2296	Cp
182	3820	2344	Cp
183	3931	1807	D
184	3886	1765	D
185	3833	1734	D
186	3775	1713	D
187	3712	1703	D
188	3647	1704	D
189	3650	1656	D
190	3646	1596	D
191	3632	1538	D
192	3610	1484	D
193	3581	1436	D
194	3545	1393	D
195	3503	1356	D
196	3456	1327	D
197	3481	1292	D
198	3517	1321	D
199	3558	1342	D
200	3603	1356	D
201	3650	1361	D
202	3701	1355	D
203	3749	1340	D
204	3791	1315	D
205	3859	1244	D
206	3932	1226	D
207	3977	1260	D
208	4015	1301	D
209	4047	1348	D
210	4071	1400	D
211	4085	1456	D
212	4090	1516	D
213	4085	1576	D
214	4070	1632	D
215	4047	1684	D
216	4015	1731	D
217	3976	1772	D
218	3931	1807	D
219	3400	1102	Ep
220	3406	1156	Ep
221	3421	1205	Ep
222	3446	1250	Ep
223	3478	1289	Ep
224	3454	1326	Ep
225	3407	1306	Ep
226	3358	1294	Ep
227	3307	1290	Ep
228	3247	1296	Ep
229	3191	1311	Ep
230	3140	1337	Ep
231	3093	1370	Ep
232	3052	1411	Ep
233	3018	1459	Ep
234	2991	1513	Ep
235	2973	1571	Ep
236	2970	1570	Ep
237	2976	1495	Ep
238	2971	1424	Ep
239	2956	1356	Ep
240	2933	1292	Ep
241	2861	1177	Ep
242	2834	1056	Ep
243	2862	983	Ep
244	2898	910	Ep
245	2946	835	Ep
246	2998	768	Ep
247	3055	710	Ep
248	3114	661	Ep
249	3175	623	Ep
