	long	lat	id
1	2481	1998	ABplx
2	2523	2067	ABplx
3	2553	2139	ABplx
4	2571	2213	ABplx
5	2576	2287	ABplx
6	2567	2360	ABplx
7	2543	2431	ABplx
8	2509	2490	ABplx
9	2467	2541	ABplx
10	2415	2585	ABplx
11	2357	2620	ABplx
12	2292	2646	ABplx
13	2222	2664	ABplx
14	2148	2673	ABplx
15	2072	2672	ABplx
16	1993	2662	ABplx
17	1914	2642	ABplx
18	1835	2612	ABplx
19	1761	2573	ABplx
20	1693	2526	ABplx
21	1634	2474	ABplx
22	1583	2417	ABplx
23	1508	2291	ABplx
24	1473	2158	ABplx
25	1472	2091	ABplx
26	1482	2025	ABplx
27	1505	1961	ABplx
28	1540	1899	ABplx
29	1586	1845	ABplx
30	1642	1801	ABplx
31	1705	1766	ABplx
32	1775	1740	ABplx
33	1850	1724	ABplx
34	1929	1718	ABplx
35	2011	1723	ABplx
36	1980	1652	ABplx
37	1962	1576	ABplx
38	1955	1495	ABplx
39	1961	1421	ABplx
40	1977	1350	ABplx
41	2003	1283	ABplx
42	2037	1222	ABplx
43	2080	1165	ABplx
44	2131	1116	ABplx
45	2188	1074	ABplx
46	2250	1039	ABplx
47	2318	1014	ABplx
48	2390	998	ABplx
49	2466	993	ABplx
50	2613	1014	ABplx
51	2681	1039	ABplx
52	2744	1074	ABplx
53	2801	1116	ABplx
54	2851	1165	ABplx
55	2894	1222	ABplx
56	2929	1283	ABplx
57	2955	1350	ABplx
58	2971	1421	ABplx
59	2976	1495	ABplx
60	2971	1568	ABplx
61	2956	1638	ABplx
62	2931	1704	ABplx
63	2897	1765	ABplx
64	2855	1820	ABplx
65	2807	1870	ABplx
66	2751	1912	ABplx
67	2690	1947	ABplx
68	2624	1973	ABplx
69	2554	1990	ABplx
70	2481	1998	ABplx
71	2010	1723	ABarx
72	1928	1718	ABarx
73	1849	1724	ABarx
74	1774	1740	ABarx
75	1704	1765	ABarx
76	1641	1801	ABarx
77	1586	1845	ABarx
78	1540	1899	ABarx
79	1504	1961	ABarx
80	1483	2020	ABarx
81	1473	2081	ABarx
82	1472	2144	ABarx
83	1473	2144	ABarx
84	1483	2213	ABarx
85	1505	2281	ABarx
86	1537	2347	ABarx
87	1579	2411	ABarx
88	1630	2470	ABarx
89	1690	2524	ABarx
90	1759	2571	ABarx
91	1835	2612	ABarx
92	1848	2617	ABarx
93	1809	2702	ABarx
94	1718	2800	ABarx
95	1660	2836	ABarx
96	1595	2865	ABarx
97	1525	2885	ABarx
98	1450	2896	ABarx
99	1371	2898	ABarx
100	1290	2890	ABarx
101	1208	2872	ABarx
102	1126	2844	ABarx
103	1045	2806	ABarx
104	971	2760	ABarx
105	906	2708	ABarx
106	850	2650	ABarx
107	803	2588	ABarx
108	767	2522	ABarx
109	741	2454	ABarx
110	727	2386	ABarx
111	725	2317	ABarx
112	736	2249	ABarx
113	804	2258	ABarx
114	871	2258	ABarx
115	936	2248	ABarx
116	998	2228	ABarx
117	1055	2199	ABarx
118	1107	2159	ABarx
119	1148	2116	ABarx
120	1181	2067	ABarx
121	1223	1956	ABarx
122	1224	1957	ABarx
123	1234	1881	ABarx
124	1233	1802	ABarx
125	1219	1721	ABarx
126	1193	1639	ABarx
127	1155	1560	ABarx
128	1226	1539	ABarx
129	1293	1508	ABarx
130	1353	1469	ABarx
131	1408	1422	ABarx
132	1455	1368	ABarx
133	1494	1308	ABarx
134	1540	1341	ABarx
135	1589	1366	ABarx
136	1639	1381	ABarx
137	1688	1386	ABarx
138	1741	1380	ABarx
139	1785	1364	ABarx
140	1825	1340	ABarx
141	1861	1308	ABarx
142	1892	1269	ABarx
143	1919	1223	ABarx
144	1956	1263	ABarx
145	1997	1296	ABarx
146	1974	1359	ABarx
147	1955	1495	ABarx
148	1962	1576	ABarx
149	1980	1652	ABarx
150	2010	1723	ABarx
151	3820	2344	Cx
152	3758	2384	Cx
153	3692	2413	Cx
154	3626	2431	Cx
155	3559	2438	Cx
156	3495	2435	Cx
157	3434	2421	Cx
158	3378	2396	Cx
159	3328	2361	Cx
160	3286	2316	Cx
161	3254	2262	Cx
162	3235	2204	Cx
163	3228	2143	Cx
164	3232	2080	Cx
165	3247	2017	Cx
166	3195	2003	Cx
167	3146	1980	Cx
168	3102	1950	Cx
169	3063	1914	Cx
170	3029	1871	Cx
171	3001	1824	Cx
172	2981	1771	Cx
173	2963	1656	Cx
174	2981	1541	Cx
175	3002	1488	Cx
176	3030	1440	Cx
177	3064	1397	Cx
178	3104	1361	Cx
179	3149	1331	Cx
180	3198	1309	Cx
181	3251	1295	Cx
182	3307	1290	Cx
183	3363	1295	Cx
184	3415	1309	Cx
185	3465	1331	Cx
186	3510	1361	Cx
187	3550	1397	Cx
188	3584	1440	Cx
189	3612	1488	Cx
190	3633	1541	Cx
191	3646	1597	Cx
192	3650	1656	Cx
193	3647	1704	Cx
194	3706	1703	Cx
195	3762	1710	Cx
196	3816	1726	Cx
197	3865	1750	Cx
198	3909	1783	Cx
199	3946	1824	Cx
200	3997	1935	Cx
201	4004	1996	Cx
202	4000	2059	Cx
203	3985	2121	Cx
204	3959	2183	Cx
205	3923	2241	Cx
206	3876	2296	Cx
207	3820	2344	Cx
208	3946	14875	P0
209	3942	14796	P0
210	3932	14718	P0
211	3915	14642	P0
212	3891	14567	P0
213	3861	14494	P0
214	3825	14423	P0
215	3783	14353	P0
216	3736	14287	P0
217	3683	14222	P0
218	3624	14160	P0
219	3561	14100	P0
220	3493	14044	P0
221	3420	13990	P0
222	3343	13939	P0
223	3262	13892	P0
224	3177	13847	P0
225	3088	13807	P0
226	2995	13770	P0
227	2899	13737	P0
228	2800	13707	P0
229	2698	13682	P0
230	2594	13661	P0
231	2486	13645	P0
232	2265	13625	P0
233	2152	13623	P0
234	1927	13633	P0
235	1817	13645	P0
236	1710	13661	P0
237	1605	13682	P0
238	1503	13707	P0
239	1404	13737	P0
240	1308	13770	P0
241	1216	13807	P0
242	1127	13847	P0
243	1042	13892	P0
244	960	13939	P0
245	883	13990	P0
246	811	14044	P0
247	742	14100	P0
248	679	14160	P0
249	621	14222	P0
250	568	14287	P0
251	520	14353	P0
252	479	14423	P0
253	443	14494	P0
254	413	14567	P0
255	389	14642	P0
256	372	14718	P0
257	361	14796	P0
258	358	14875	P0
259	361	14954	P0
260	372	15032	P0
261	389	15109	P0
262	413	15184	P0
263	443	15257	P0
264	568	15464	P0
265	621	15528	P0
266	679	15591	P0
267	742	15650	P0
268	811	15707	P0
269	883	15761	P0
270	960	15811	P0
271	1042	15859	P0
272	1127	15903	P0
273	1216	15944	P0
274	1308	15981	P0
275	1404	16014	P0
276	1503	16043	P0
277	1605	16068	P0
278	1710	16089	P0
279	1817	16106	P0
280	1927	16118	P0
281	2038	16125	P0
282	2152	16127	P0
283	2265	16125	P0
284	2377	16118	P0
285	2486	16106	P0
286	2594	16089	P0
287	2698	16068	P0
288	2800	16043	P0
289	2899	16014	P0
290	2995	15981	P0
291	3088	15944	P0
292	3177	15903	P0
293	3262	15859	P0
294	3343	15811	P0
295	3420	15761	P0
296	3561	15650	P0
297	3624	15591	P0
298	3683	15528	P0
299	3736	15464	P0
300	3783	15397	P0
301	3825	15328	P0
302	3861	15257	P0
303	3891	15184	P0
304	3915	15109	P0
305	3932	15032	P0
306	3942	14954	P0
307	3946	14875	P0
308	3931	1807	D
309	3886	1765	D
310	3833	1734	D
311	3775	1713	D
312	3712	1703	D
