	long	lat	id
1	14957	-733	ABpla
2	14969	-733	ABpla
3	15003	-678	ABpla
4	15027	-620	ABpla
5	15041	-561	ABpla
6	15045	-502	ABpla
7	15038	-443	ABpla
8	15019	-386	ABpla
9	14989	-335	ABpla
10	14950	-291	ABpla
11	14903	-254	ABpla
12	14850	-226	ABpla
13	14791	-206	ABpla
14	14727	-195	ABpla
15	14660	-192	ABpla
16	14592	-199	ABpla
17	14522	-216	ABpla
18	14453	-242	ABpla
19	14387	-277	ABpla
20	14329	-318	ABpla
21	14279	-365	ABpla
22	14237	-417	ABpla
23	14203	-472	ABpla
24	14179	-530	ABpla
25	14165	-589	ABpla
26	14162	-648	ABpla
27	14169	-706	ABpla
28	14188	-763	ABpla
29	14217	-812	ABpla
30	14254	-855	ABpla
31	14298	-891	ABpla
32	14348	-919	ABpla
33	14404	-939	ABpla
34	14464	-952	ABpla
35	14528	-956	ABpla
36	14593	-953	ABpla
37	14626	-899	ABpla
38	14667	-852	ABpla
39	14715	-811	ABpla
40	14769	-778	ABpla
41	14827	-754	ABpla
42	14890	-738	ABpla
43	14957	-733	ABpla
44	16041	-456	Cp
45	15984	-421	Cp
46	15925	-396	Cp
47	15865	-383	Cp
48	15806	-381	Cp
49	15750	-389	Cp
50	15697	-408	Cp
51	15651	-438	Cp
52	15613	-478	Cp
53	15588	-521	Cp
54	15572	-568	Cp
55	15567	-617	Cp
56	15570	-667	Cp
57	15582	-718	Cp
58	15630	-713	Cp
59	15681	-718	Cp
60	15729	-733	Cp
61	15773	-756	Cp
62	15812	-787	Cp
63	15845	-824	Cp
64	15872	-868	Cp
65	15891	-916	Cp
66	15902	-968	Cp
67	16012	-959	Cp
68	16061	-940	Cp
69	16105	-911	Cp
70	16141	-872	Cp
71	16169	-824	Cp
72	16184	-771	Cp
73	16188	-716	Cp
74	16179	-659	Cp
75	16160	-603	Cp
76	16131	-550	Cp
77	16091	-500	Cp
78	16041	-456	Cp
79	16130	-886	D
80	16093	-919	D
81	16051	-944	D
82	16005	-961	D
83	15954	-969	D
84	15902	-968	D
85	15905	-1006	D
86	15900	-1063	D
87	15885	-1116	D
88	15861	-1164	D
89	15830	-1206	D
90	15793	-1242	D
91	15749	-1270	D
92	15770	-1297	D
93	15809	-1268	D
94	15854	-1249	D
95	15905	-1243	D
96	15945	-1247	D
97	15983	-1259	D
98	16018	-1279	D
99	16047	-1305	D
100	16072	-1336	D
101	16136	-1346	D
102	16177	-1313	D
103	16210	-1272	D
104	16235	-1225	D
105	16251	-1174	D
106	16257	-1118	D
107	16251	-1061	D
108	16234	-1008	D
109	16207	-961	D
110	16172	-920	D
111	16130	-886	D
112	15705	-1450	Ep
113	15709	-1407	Ep
114	15721	-1367	Ep
115	15741	-1331	Ep
116	15767	-1300	Ep
117	15747	-1271	Ep
118	15710	-1286	Ep
119	15671	-1296	Ep
120	15630	-1299	Ep
121	15576	-1293	Ep
122	15525	-1277	Ep
123	15480	-1251	Ep
124	15439	-1217	Ep
125	15406	-1175	Ep
126	15380	-1127	Ep
127	15363	-1074	Ep
128	15361	-1075	Ep
129	15366	-1135	Ep
130	15360	-1203	Ep
131	15343	-1267	Ep
132	15316	-1327	Ep
133	15280	-1381	Ep
134	15262	-1516	Ep
135	15303	-1604	Ep
136	15345	-1670	Ep
137	15393	-1728	Ep
138	15444	-1777	Ep
139	15497	-1817	Ep
140	15552	-1846	Ep
141	15607	-1865	Ep
142	15660	-1872	Ep
143	15711	-1867	Ep
144	15758	-1849	Ep
145	15793	-1823	Ep
146	15821	-1790	Ep
147	15843	-1750	Ep
148	15858	-1704	Ep
149	15865	-1653	Ep
150	15822	-1638	Ep
151	15783	-1614	Ep
152	15751	-1582	Ep
153	15726	-1543	Ep
154	15710	-1498	Ep
155	15705	-1450	Ep
156	15303	-1604	Ea
157	15262	-1516	Ea
158	15236	-1428	Ea
159	15189	-1466	Ea
160	15137	-1496	Ea
161	15081	-1518	Ea
162	15021	-1532	Ea
163	14957	-1537	Ea
164	14906	-1534	Ea
165	14858	-1525	Ea
166	14860	-1595	Ea
167	14871	-1669	Ea
168	14891	-1745	Ea
169	14917	-1811	Ea
170	14948	-1871	Ea
171	14984	-1925	Ea
172	15023	-1972	Ea
173	15066	-2011	Ea
174	15110	-2043	Ea
175	15156	-2065	Ea
176	15202	-2077	Ea
177	15248	-2079	Ea
178	15332	-2052	Ea
179	15395	-1988	Ea
180	15418	-1945	Ea
181	15435	-1895	Ea
182	15446	-1841	Ea
183	15451	-1782	Ea
184	15397	-1732	Ea
185	15347	-1672	Ea
186	15303	-1604	Ea
187	14858	-1525	MSp
188	14798	-1505	MSp
189	14742	-1477	MSp
190	14692	-1441	MSp
191	14648	-1398	MSp
192	14611	-1349	MSp
193	14582	-1295	MSp
194	14550	-1321	MSp
195	14520	-1353	MSp
196	14543	-1414	MSp
197	14558	-1482	MSp
198	14563	-1556	MSp
199	14559	-1634	MSp
200	14545	-1716	MSp
201	14521	-1792	MSp
202	14491	-1862	MSp
203	14454	-1924	MSp
204	14481	-1982	MSp
