	long	lat	id
1	359	349	P0
2	349	349	P0
3	349	389	P0
4	359	389	P0
5	359	349	P0
6	336	201	ABprp
7	336	245	ABprp
8	326	245	ABprp
9	326	201	ABprp
10	318	201	ABprp
11	318	141	ABprp
12	328	141	ABprp
13	328	201	ABprp
14	334	201	ABprp
15	334	141	ABprp
16	344	141	ABprp
17	344	201	ABprp
18	336	201	ABprp
19	301	201	ABpra
20	301	245	ABpra
21	291	245	ABpra
22	291	201	ABpra
23	283	201	ABpra
24	283	141	ABpra
25	293	141	ABpra
26	293	201	ABpra
27	299	201	ABpra
28	299	141	ABpra
29	309	141	ABpra
30	309	201	ABpra
31	301	201	ABpra
32	261	201	ABplp
33	261	245	ABplp
34	251	245	ABplp
35	251	201	ABplp
36	243	201	ABplp
37	243	141	ABplp
38	253	141	ABplp
39	253	201	ABplp
40	259	201	ABplp
41	259	141	ABplp
42	269	141	ABplp
43	269	201	ABplp
44	261	201	ABplp
45	226	201	ABpla
46	226	245	ABpla
47	216	245	ABpla
48	216	201	ABpla
49	208	201	ABpla
50	208	141	ABpla
51	218	141	ABpla
52	218	201	ABpla
53	224	201	ABpla
54	224	141	ABpla
55	234	141	ABpla
56	234	201	ABpla
57	226	201	ABpla
58	180	201	ABarp
59	180	245	ABarp
60	170	245	ABarp
61	170	201	ABarp
62	162	201	ABarp
63	162	141	ABarp
64	172	141	ABarp
65	172	201	ABarp
66	178	201	ABarp
67	178	141	ABarp
68	188	141	ABarp
69	188	201	ABarp
70	180	201	ABarp
71	145	201	ABara
72	145	245	ABara
73	135	245	ABara
74	135	201	ABara
75	127	201	ABara
76	127	141	ABara
77	137	141	ABara
78	137	201	ABara
79	143	201	ABara
80	143	141	ABara
81	153	141	ABara
82	153	201	ABara
83	145	201	ABara
84	105	201	ABalp
85	105	245	ABalp
86	95	245	ABalp
87	95	201	ABalp
88	87	201	ABalp
89	87	141	ABalp
90	97	141	ABalp
91	97	201	ABalp
92	103	201	ABalp
93	103	141	ABalp
94	113	141	ABalp
95	113	201	ABalp
96	105	201	ABalp
97	70	201	ABala
98	70	245	ABala
99	60	245	ABala
100	60	201	ABala
101	52	201	ABala
102	52	141	ABala
103	62	141	ABala
104	62	201	ABala
105	68	201	ABala
106	68	141	ABala
107	78	141	ABala
108	78	201	ABala
109	70	201	ABala
110	319	245	ABpr
111	309	245	ABpr
112	309	281	ABpr
113	319	281	ABpr
114	319	245	ABpr
115	244	245	ABpl
116	234	245	ABpl
117	234	281	ABpl
118	244	281	ABpl
119	244	245	ABpl
120	162	245	ABar
121	152	245	ABar
122	152	281	ABar
123	162	281	ABar
124	162	245	ABar
125	87	245	ABal
126	77	245	ABal
127	77	281	ABal
