	long	lat	id
1	14593	-953	ABarx
2	14527	-957	ABarx
3	14464	-952	ABarx
4	14404	-939	ABarx
5	14348	-919	ABarx
6	14298	-891	ABarx
7	14253	-855	ABarx
8	14216	-812	ABarx
9	14188	-763	ABarx
10	14171	-715	ABarx
11	14163	-666	ABarx
12	14162	-616	ABarx
13	14161	-616	ABarx
14	14161	-616	ABarx
15	14163	-616	ABarx
16	14173	-553	ABarx
17	14195	-491	ABarx
18	14227	-431	ABarx
19	14270	-375	ABarx
20	14322	-324	ABarx
21	14383	-279	ABarx
22	14453	-242	ABarx
23	14463	-238	ABarx
24	14429	-165	ABarx
25	14345	-82	ABarx
26	14292	-52	ABarx
27	14233	-30	ABarx
28	14169	-17	ABarx
29	14101	-13	ABarx
30	14030	-18	ABarx
31	13958	-32	ABarx
32	13885	-56	ABarx
33	13814	-90	ABarx
34	13749	-132	ABarx
35	13694	-180	ABarx
36	13647	-233	ABarx
37	13610	-290	ABarx
38	13583	-349	ABarx
39	13568	-410	ABarx
40	13564	-472	ABarx
41	13573	-532	ABarx
42	13639	-524	ABarx
43	13703	-527	ABarx
44	13764	-541	ABarx
45	13820	-567	ABarx
46	13870	-604	ABarx
47	13913	-651	ABarx
48	13943	-706	ABarx
49	13963	-766	ABarx
50	13964	-765	ABarx
51	13964	-765	ABarx
52	13963	-765	ABarx
53	13971	-890	ABarx
54	13960	-955	ABarx
55	13939	-1020	ABarx
56	13909	-1083	ABarx
57	13977	-1104	ABarx
58	14039	-1136	ABarx
59	14094	-1178	ABarx
60	14141	-1228	ABarx
61	14179	-1285	ABarx
62	14230	-1251	ABarx
63	14282	-1229	ABarx
64	14335	-1222	ABarx
65	14378	-1227	ABarx
66	14421	-1244	ABarx
67	14459	-1271	ABarx
68	14492	-1308	ABarx
69	14520	-1353	ABarx
70	14549	-1320	ABarx
71	14582	-1294	ABarx
72	14564	-1244	ABarx
73	14552	-1191	ABarx
74	14549	-1135	ABarx
75	14554	-1071	ABarx
76	14569	-1010	ABarx
77	14593	-953	ABarx
78	14969	-733	ABplx
79	15003	-678	ABplx
80	15027	-620	ABplx
81	15041	-561	ABplx
82	15045	-501	ABplx
83	15038	-443	ABplx
84	15019	-386	ABplx
85	14989	-335	ABplx
86	14950	-291	ABplx
87	14903	-254	ABplx
88	14850	-226	ABplx
89	14791	-206	ABplx
90	14727	-195	ABplx
91	14660	-192	ABplx
92	14592	-199	ABplx
93	14522	-216	ABplx
94	14453	-242	ABplx
95	14387	-277	ABplx
96	14329	-318	ABplx
97	14279	-365	ABplx
98	14237	-417	ABplx
99	14203	-472	ABplx
100	14179	-530	ABplx
101	14165	-589	ABplx
102	14169	-706	ABplx
103	14217	-812	ABplx
104	14254	-855	ABplx
105	14298	-890	ABplx
106	14348	-919	ABplx
107	14404	-939	ABplx
108	14464	-952	ABplx
109	14527	-956	ABplx
110	14593	-953	ABplx
111	14569	-1010	ABplx
112	14554	-1071	ABplx
113	14549	-1135	ABplx
114	14554	-1200	ABplx
115	14569	-1262	ABplx
116	14594	-1320	ABplx
117	14627	-1372	ABplx
118	14668	-1419	ABplx
119	14716	-1460	ABplx
120	14769	-1492	ABplx
121	14828	-1517	ABplx
122	14891	-1532	ABplx
123	14957	-1537	ABplx
124	15023	-1532	ABplx
125	15086	-1517	ABplx
126	15145	-1492	ABplx
127	15198	-1460	ABplx
128	15246	-1419	ABplx
129	15320	-1320	ABplx
130	15345	-1262	ABplx
131	15360	-1200	ABplx
132	15366	-1135	ABplx
133	15360	-1071	ABplx
134	15346	-1010	ABplx
135	15322	-953	ABplx
136	15289	-901	ABplx
137	15250	-855	ABplx
138	15204	-814	ABplx
139	15152	-781	ABplx
140	15095	-756	ABplx
141	15034	-740	ABplx
142	14969	-733	ABplx
143	16041	-456	Cx
144	15984	-421	Cx
145	15925	-396	Cx
146	15865	-383	Cx
147	15806	-381	Cx
148	15750	-389	Cx
149	15697	-408	Cx
150	15651	-438	Cx
151	15613	-478	Cx
152	15588	-521	Cx
153	15572	-568	Cx
154	15567	-617	Cx
155	15570	-667	Cx
156	15582	-717	Cx
157	15536	-731	Cx
158	15492	-752	Cx
159	15454	-781	Cx
160	15420	-817	Cx
161	15393	-858	Cx
162	15373	-903	Cx
163	15360	-953	Cx
164	15355	-1006	Cx
165	15360	-1059	Cx
166	15393	-1154	Cx
167	15453	-1230	Cx
168	15491	-1259	Cx
169	15534	-1281	Cx
170	15581	-1294	Cx
171	15630	-1299	Cx
172	15679	-1294	Cx
173	15726	-1281	Cx
174	15769	-1259	Cx
175	15807	-1230	Cx
176	15840	-1195	Cx
177	15867	-1154	Cx
178	15887	-1108	Cx
179	15900	-1059	Cx
180	15905	-1006	Cx
181	15902	-968	Cx
182	15958	-968	Cx
183	16012	-959	Cx
184	16061	-940	Cx
185	16105	-911	Cx
186	16141	-872	Cx
187	16169	-824	Cx
188	16184	-771	Cx
189	16188	-716	Cx
190	16179	-659	Cx
191	16160	-603	Cx
192	16131	-550	Cx
193	16041	-456	Cx
194	16130	-886	D
195	16093	-919	D
196	16051	-944	D
197	16005	-961	D
198	15954	-969	D
199	15902	-968	D
200	15905	-1006	D
201	15900	-1063	D
202	15885	-1116	D
203	15861	-1164	D
204	15830	-1206	D
205	15793	-1242	D
206	15749	-1270	D
207	15770	-1297	D
208	15809	-1268	D
209	15854	-1249	D
210	15905	-1243	D
211	15945	-1247	D
212	15983	-1259	D
213	16018	-1279	D
214	16047	-1305	D
215	16072	-1336	D
216	16136	-1346	D
217	16210	-1272	D
218	16235	-1225	D
219	16251	-1174	D
220	16257	-1118	D
221	16251	-1061	D
222	16234	-1008	D
223	16207	-961	D
224	16172	-920	D
225	16130	-886	D
226	15705	-1450	Ex
227	15709	-1407	Ex
228	15721	-1367	Ex
229	15741	-1331	Ex
230	15767	-1300	Ex
231	15747	-1271	Ex
232	15710	-1286	Ex
233	15671	-1296	Ex
234	15630	-1299	Ex
235	15576	-1293	Ex
236	15525	-1277	Ex
237	15480	-1251	Ex
238	15439	-1217	Ex
239	15406	-1175	Ex
240	15380	-1127	Ex
241	15363	-1074	Ex
242	15361	-1075	Ex
243	15366	-1135	Ex
244	15360	-1203	Ex
245	15343	-1267	Ex
246	15316	-1327	Ex
247	15280	-1381	Ex
248	15236	-1428	Ex
249	15137	-1496	Ex
250	15081	-1518	Ex
251	15021	-1532	Ex
252	14957	-1537	Ex
253	14906	-1534	Ex
254	14858	-1525	Ex
255	14860	-1595	Ex
256	14871	-1669	Ex
257	14891	-1745	Ex
258	14917	-1811	Ex
259	14948	-1871	Ex
260	14984	-1925	Ex
261	15023	-1972	Ex
262	15066	-2011	Ex
263	15110	-2043	Ex
