	Nishimura	Hashimshony	Tintori
C50E3.13	6.68757420574886	5.29066150710953	7.44001493492506
erm-1	5.95254495535633	6.37216372231882	6.91208697318879
F32D1.6	8.56181869474858	8.50315643255258	7.8794754928623
K05C4.3	6.08220684682804	0	0
F40G12.11	6.89937243290056	7.2966582133521	7.85274595158383
ptr-23	5.44390061318241	0	0
K05C4.4	5.99031084945711	0	0
ZK337.2	5.90613911028329	0	0
K05C4.9	5.47162504902732	0	0
F21F12.1	6.00095504318791	0	0
ZK909.6	6.94676422043783	0	0
F33H2.8	6.47065951991233	0	3.36051104867106
kin-1	5.82780459972275	0	0
tag-4	5.63638323456092	0	0
K05C4.10	5.46993522387358	0	0
mtd-1	5.68505626378422	1.66800359218055	0
F31C3.6	6.01478668619255	1.70920835687083	2.1853862566905
Y54E5A.8	5.99992035875606	1.87027310187741	3.33692333327332
K05C4.11	5.61338059271042	0	0
F39B2.8	5.84380199180355	1.55337135180047	3.34856869706604
ZK909.3	5.55784621451575	2.51400131821569	4.45663518361198
eva-1	6.20242210612133	0	0
C14B1.10	7.65401249798717	3.59150413570322	4.70838718848283
unc-122	5.89611268827619	0	0
str-245	6.08030387036091	0	0
K05C4.8	6.37955127469651	0	3.0131643027625
ces-2	5.26319306595463	1.67476088625119	2.91077057671472
F32A7.8	5.74892943866191	0	0
set-10	6.30888485385214	3.84066698568186	4.75063900169938
C14B1.3	7.34991588303135	3.74073403456224	6.76879482041814
sel-8	7.46908161760459	2.59260414707847	3.27653066452982
C50E3.12	6.8516474940448	5.88076762634261	6.93289760170313
F11C3.1	5.67499333998006	0	0
nhr-6	7.84615683083402	1.91195660305453	2.06107480417542
C44B9.3	6.86662883727729	4.81103977037017	6.10194187275827
lem-3	6.87278546811986	5.84883545396766	7.19608006968243
cdc-25.3	7.8051532529486	8.24101084260018	7.21940514642003
C46F11.4	8.0262384468045	4.05470441726037	6.33108621786327
ptp-1	7.82756048271798	2.87459714075149	3.92467981037386
fbxb-70	4.57125829430037	0	0
C46F11.6	7.79251287991706	4.81579709440603	4.55255113367739
E02H4.6	6.49871398075855	7.57306940400641	6.39317079716047
C14B1.8	8.78601436763383	5.76561430901718	7.40535125144765
aex-5	5.46871837013065	1.41889450965946	0
Y54E5B.2	5.76840649451726	3.75259488206461	4.749073606678
C32A3.2	8.03735961752449	2.87522088948029	3.89288264890061
F39B2.7	6.04202901062246	2.80917284524374	4.74745621810514
F14H3.4	7.11492640163287	7.01149773071619	7.88409731964001
Y54E5A.6	6.08261535585666	3.43623837290957	4.3047327547284
ben-1	7.37822447471622	3.7489530565628	5.14402280083201
W02F12.3	9.7019752659678	8.7873199099962	8.72732917125487
C50F7.9	3.76827805697414	1.62194603901561	0
C14B1.6	8.24781257943302	4.84945171199346	6.77943264493706
npr-15	8.03670457540937	1.80778484213155	0
F55G1.15	3.75593246592577	0	2.17554327545168
unc-93	8.37031000514603	0	0
smp-1	6.18930633535884	3.71754233295905	5.77660464107165
F52B5.2	7.59819804432746	7.346242336244	8.20390810330958
unc-54	4.394933720581	0	0
valv-1	3.71164009775516	0	0
C46F11.5	8.46738976545404	5.60779866898824	6.50140753871905
afd-1	4.07517088946899	3.94764170048751	4.2718962305221
R05G6.1	3.68964930474841	2.45490733399184	2.21751626198602
C54C6.5	8.26019771562829	0	0
C48D5.3	8.37462379017012	0	0
cyn-9	8.59884923153233	6.94005669568932	7.54623996310542
C46F11.3	8.51277820547122	5.97151514234374	7.44550506712602
C54C6.7	8.62165026509267	0	0
F34D10.4	7.34955488482463	6.31452734206021	6.0952863215937
C54C6.4	8.60899384539126	0	0
amx-1	7.59706337249419	4.6959116674433	6.45562319717574
C55C3.5	6.88120208357727	6.15479021071266	7.82898115349683
arf-1.1	3.43864043285135	0	0
unc-82	3.40090154176615	0	0
C46A5.1	3.37971672235521	1.54754433264653	0
C14C11.2	6.08724032118397	4.93997058002465	6.20778131883545
F42C5.2	3.35624648759872	0	0
C50F7.10	3.32335397853762	1.31378306516996	0
srtx-1	3.37933302128411	0	0
F45E4.7	3.35971955698829	0	0
F32A7.5	4.85928964862607	1.99910678297163	3.62590726101193
dpy-27	7.36381550423592	3.95814194228383	4.8481602080385
B0496.2	3.10887687464029	1.71513263119797	0
F45E4.6	3.7500982922162	0	3.49973328378227
cyp-25A5	3.51815991023568	1.76954030688772	0
tag-224	3.59752907322448	3.41522137548965	3.8119042361982
C36A4.5	7.40795946479342	1.43577842171701	3.6282177004922
nhr-8	3.22510166172501	0	0
F34D10.2	7.90103855191599	6.56344210306701	6.77678657216163
T21B10.1	5.2701768742806	4.07709351059849	5.35489192610876
C50D2.9	5.81562530425864	4.74114184359989	6.43161505066542
ZK1058.3	7.96421741708668	3.51807458526793	5.41497758100385
ZC317.7	5.81746895012868	4.92290337962946	2.9416058703938
F33H2.6	6.68473727788784	5.09068606224282	6.53831662473375
grl-4	2.93979134426959	0	0
age-1	5.90887905267652	5.32398402498689	6.50492909412227
T09B4.1	9.0992627305229	8.08824191124579	8.52441755987056
clec-180	3.01706958711516	0	0
msi-1	7.55304150223099	4.14473876095052	3.29701250363142
brc-1	8.11147948543416	5.62571869028386	5.849304070441
lec-4	8.00595219235297	2.87437500785047	4.85634086336528
