	Nishimura	Hashimshony	Tintori
C50E3.13	-2.01122311676663	-1.35691305919309	-0.341894318697549
erm-1	-2.27055614003225	-2.43692169076676	-1.93719494703618
F32D1.6	-1.87751486502342	-1.77108548208337	-0.623126250941384
K05C4.3	-9.58039084471507	0	0
F40G12.11	-1.88115680786765	-1.03087220654484	-1.19653924481189
ptr-23	-7.95536990455595	0	0
K05C4.4	-9.63147294114806	0	0
ZK337.2	-8.92152852403829	0	0
K05C4.9	-8.47699492759583	0	0
F21F12.1	-9.64262599707675	0	0
ZK909.6	-9.0791156056876	0	0
F33H2.8	-8.78158682939182	0	-6.34853337701033
kin-1	-9.46054491022909	0	0
tag-4	-9.13712809275902	0	0
K05C4.10	-9.08088189799088	0	0
mtd-1	-7.66990476550773	-0.650782140489509	0
F31C3.6	-6.59189096089151	0.387106197008834	3.70661212640502
Y54E5A.8	-6.02016625884691	0.333426305754715	-1.98603981955193
K05C4.11	-7.21051603135069	0	0
F39B2.8	-5.73651529396274	1.44882542718305	-0.116741371100458
ZK909.3	-6.61367654030508	-0.769118637936372	-0.457104883313787
eva-1	-6.74838798384702	0	0
C14B1.10	-4.28634839783027	-0.0574521856682097	-1.11414984835197
unc-122	-7.25808643610776	0	0
str-245	-7.39033827141768	0	0
K05C4.8	-7.35125813125684	0	2.23364589453763
ces-2	-5.93547604077184	-3.41385803729599	2.03568126420618
F32A7.8	-7.31137213998383	0	0
set-10	-3.20707014401789	-1.31496353293183	-1.54137879695146
C14B1.3	-3.82227165018462	-0.685689528370401	-0.362253369237352
sel-8	-4.57934735309635	0.789189464541721	-1.05706978682604
C50E3.12	-1.65310189492366	-1.6147297306972	-1.23192032894347
F11C3.1	-6.5014086664932	0	0
nhr-6	-5.03911170150545	-1.01000109454536	-2.79412448371328
C44B9.3	-1.54098125044426	-1.48399617996316	-1.83801903166544
lem-3	-1.68395493683934	-1.61546481749598	-1.35508790988597
cdc-25.3	-1.49399856002584	-1.51988126520077	-0.553376020629331
C46F11.4	-3.20363565909899	0.332750322175528	-0.527466909806516
ptp-1	-5.06700611366958	0.0119573229422167	0.731899548393619
fbxb-70	-7.83879010647881	0	0
C46F11.6	-4.19628801324417	-0.213563654303287	-1.59309655884731
E02H4.6	-1.41159445714599	-2.373569082716	-0.987295960896286
C14B1.8	-3.42386861223591	-0.184680608416448	-0.485823927415619
aex-5	-6.6215156956749	-0.284834796054749	0
Y54E5B.2	-3.42365343510087	-0.626033700643327	-1.19720336163256
C32A3.2	-4.95873221212795	0.233460319529134	-0.971215017414256
F39B2.7	-3.23140600054846	-0.408670804273025	-0.87821726640104
F14H3.4	-1.47197144589312	-1.29683636095636	-1.23773956409074
Y54E5A.6	-3.15484164241044	0.176402600526254	0.458071485048787
ben-1	-2.75355748071173	-0.439076081661036	0.271520416639762
W02F12.3	-1.44566249869766	-2.14973876642426	-0.345168511898011
C50F7.9	-6.04957702055242	0.924582805767272	0
C14B1.6	-2.87820186043088	-0.130483520314814	-0.092771975029478
npr-15	-5.29761475914218	-3.8785531421891	0
