QUALIFIER	NR_NC filter	qt_cluster 200	PC-6	3C	PC32	0	23	41	53	66
AFFX-TrpnX-M_at	0	NC	5	4	4	4	5	4	5	5
AFFX-TrpnX-5_at	0	NC	6	5	5	4	5	4	6	6
AFFX-TrpnX-3_at	0	NC	5	4	4	4	5	4	5	5
AFFX-ThrX-M_at	0	NC	6	4	4	4	5	4	5	5
AFFX-ThrX-5_at	0	NC	5	5	4	4	5	4	5	5
AFFX-ThrX-3_at	0	NC	5	5	4	5	5	5	5	5
AFFX-r2-YEL024w/RIP1-3_at	0	NC	6	5	5	4	5	6	5	7
AFFX-r2-YEL021w/URA3-3_at	0	NC	5	4	4	4	5	4	5	5
AFFX-r2-YEL018w/-3_at	0	NC	5	4	4	4	5	4	5	5
AFFX-r2-YEL002c/WBP1-5_at	0	NC	5	4	4	4	5	4	5	5
AFFX-r2-YEL002c/WBP1-3_at	0	NC	6	5	6	4	7	6	8	7
AFFX-r2-P1-cre-5_at	0	NC	269	362	275	239	153	280	136	298
AFFX-r2-P1-cre-3_at	0	NC	21	39	30	26	15	29	14	33
AFFX-r2-Ec-bioD-5_at	0	NC	5	5	4	4	5	4	5	5
AFFX-r2-Ec-bioD-3_at	0	NC	20	29	26	24	12	24	15	31
AFFX-r2-Ec-bioC-5_at	0	NC	15	17	17	13	8	14	8	17
AFFX-r2-Ec-bioC-3_at	0	NC	9	15	11	10	9	12	9	12
AFFX-r2-Ec-bioB-M_at	0	NC	6	6	6	4	6	5	6	6
AFFX-r2-Ec-bioB-5_at	0	NC	89	130	99	79	51	88	46	105
AFFX-r2-Ec-bioB-3_at	0	NC	25	34	27	21	15	21	15	30
AFFX-r2-Bs-thr-M_s_at	0	NC	5	6	6	5	7	8	7	7
AFFX-r2-Bs-thr-5_s_at	0	NC	6	5	5	4	6	5	5	5
AFFX-r2-Bs-thr-3_s_at	0	NC	6	5	5	4	5	4	5	5
AFFX-r2-Bs-phe-M_at	0	NC	5	5	5	4	5	4	5	5
AFFX-r2-Bs-phe-5_at	0	NC	5	5	4	4	5	4	5	5
AFFX-r2-Bs-phe-3_at	0	NC	6	7	5	5	6	5	6	5
AFFX-r2-Bs-lys-M_at	0	NC	5	5	5	4	5	4	5	5
AFFX-r2-Bs-lys-5_at	0	NC	5	5	4	4	5	4	5	5
AFFX-r2-Bs-lys-3_at	0	NC	5	5	4	4	5	4	6	5
AFFX-r2-Bs-dap-M_at	0	NC	625	854	721	593	372	632	385	826
AFFX-r2-Bs-dap-5_at	0	NC	195	287	239	219	126	231	129	278
AFFX-r2-Bs-dap-3_at	0	NC	7	6	6	5	6	6	6	7
AFFX-r2-3487-5_s_at	0	NC	150	51	208	86	272	91	401	150
AFFX-r2-3487-3_s_at	0	NC	711	346	823	352	888	423	1312	679
AFFX-r2-3026-5_at	0	NC	178	60	125	213	91	43	37	23
AFFX-r2-3026-3_at	0	NC	1029	588	698	791	382	231	131	88
AFFX-r2-18565-5_x_at	0	NC	28	13	25	40	33	27	37	24
AFFX-r2-18565-3_x_at	0	NC	141	78	92	166	119	137	121	125
AFFX-r2-13514-5_x_at	0	NC	168	85	162	304	310	262	400	273
AFFX-r2-13514-3_s_at	0	NC	710	491	721	1093	1079	1109	1377	1316
AFFX-r2-11687-5M_s_at	0	NC	6	4	5	4	6	5	5	7
AFFX-r2-11687-5_s_at	0	NC	6	5	4	4	5	4	5	5
AFFX-r2-11687-3M_s_at	0	NC	5	4	4	4	5	4	5	5
AFFX-r2-11687-3_s_at	0	NC	6	5	5	4	5	4	6	5
AFFX-PheX-M_at	0	NC	5	4	4	4	5	4	5	5
AFFX-PheX-5_at	0	NC	5	4	4	4	5	4	5	5
AFFX-PheX-3_at	0	NC	5	4	4	4	5	4	5	5
AFFX-LysX-M_at	0	NC	5	4	4	4	5	4	5	5
AFFX-LysX-5_at	0	NC	5	4	4	4	5	4	5	5
AFFX-LysX-3_at	0	NC	5	5	5	4	5	4	5	5
AFFX-DapX-M_at	0	NC	811	1134	867	756	502	835	512	1029
AFFX-DapX-5_at	0	NC	258	312	279	247	141	244	145	302
AFFX-DapX-3_at	0	NC	8	7	6	6	6	7	6	7
AFFX-CreX-5_at	0	NC	114	187	144	106	73	121	77	147
AFFX-CreX-3_at	0	NC	20	22	25	19	12	19	11	24
AFFX-Ce_Ubiquitin_M_at	0	NC	97	54	124	105	170	112	314	196
AFFX-Ce_Ubiquitin_5_at	0	NC	59	33	65	56	84	56	140	93
AFFX-Ce_Ubiquitin_3_at	0	NC	2094	1070	2143	1577	2192	1717	2932	2512
AFFX-Ce_gly14_M_at	0	NC	5	4	4	4	5	4	5	5
AFFX-Ce_gly14_5_at	0	NC	5	5	4	4	6	4	6	5
AFFX-Ce_gly14_3_at	0	NC	6	6	6	4	6	5	6	5
AFFX-Ce_Gapdh_M_s_at	0	NC	39	24	32	56	37	38	47	45
AFFX-Ce_Gapdh_5_s_at	0	NC	28	14	21	36	31	24	35	29
AFFX-Ce_Gapdh_3_s_at	0	NC	84	56	53	109	66	90	74	90
AFFX-Ce_catalase_M_s_at	0	NC	7	7	6	5	8	6	7	6
AFFX-Ce_catalase_5_s_at	0	NC	7	5	5	5	6	6	7	5
AFFX-Ce_catalase_3_s_at	0	NC	20	17	14	20	21	29	14	13
AFFX-Ce_Actin_M_s_at	0	NC	427	250	405	793	666	669	786	741
AFFX-Ce_Actin_5_f_at	0	NC	32	17	34	70	66	61	81	60
AFFX-Ce_Actin_3_s_at	0	NC	822	612	921	1149	1150	1199	1451	1441
AFFX-BioDn-5_at	0	NC	5	4	4	4	5	4	5	5
AFFX-BioDn-3_at	0	NC	29	39	40	34	20	34	20	41
AFFX-BioC-5_at	0	NC	14	16	14	10	8	12	9	15
AFFX-BioC-3_at	0	NC	6	7	5	5	5	6	5	6
