PROBEID	WORMBASE	UNIGENE	GENENAME	ALIAS	ENTREZID	display
171720_x_at	WBGene00013011	Cel.20567	Protein SNX-14	snx-14	174997	snx-14
171721_x_at	WBGene00011344	Cel.121	Protein T01G9.2	T01G9.2	172609	T01G9.2
171722_x_at	WBGene00018934	Cel.12832	Protein F56B3.11	F56B3.11	176907	F56B3.11
171723_x_at	WBGene00006928	Cel.21335	Protein VIT-4	vit-4	180646	vit-4
171724_x_at	WBGene00000386	Cel.17290	Protein CDC-25.1	cdc-25.1	172353	cdc-25.1
171725_x_at	WBGene00000733	Cel.24968	Protein COL-160	col-160	179804	col-160
171726_x_at	WBGene00001080	Cel.1621	Protein DPY-21	dpy-21	180176	dpy-21
171727_x_at	WBGene00015135	Cel.16058	Protein CYP-23A1	cyp-23A1	173787	cyp-23A1
171728_x_at	WBGene00003567	Cel.17722	Protein NCX-2	ncx-2	178918	ncx-2
171729_x_at	WBGene00003825	Cel.18294	Protein NTL-2	ntl-2	173773	ntl-2
171730_x_at	WBGene00006886	Cel.18134	Protein VAP-1	vap-1	181768	vap-1
171731_x_at	WBGene00007433	Cel.5858	Protein SWSN-7	swsn-7	174286	swsn-7
171732_x_at	WBGene00002998	Cel.19461	Protein LIN-9	lin-9	176256	lin-9
171733_x_at	WBGene00017755	Cel.7241	Protein ZIP-8	zip-8	175924	zip-8
171734_x_at	WBGene00006519	Cel.18117	Protein TAG-174	tag-174	175693	tag-174
171735_x_at	WBGene00000720	Cel.2437	Protein COL-147	col-147	179351	col-147
171736_x_at	WBGene00004786	Cel.17916	Protein SEX-1	sex-1	181231	sex-1
171737_x_at	WBGene00011737	Cel.17663	Protein T12G3.1	T12G3.1	178139	T12G3.1
171738_x_at	WBGene00006780	Cel.23117	Protein UNC-44	unc-44	177366	unc-44
171739_x_at	WBGene00018024	Cel.5700	Protein F35A5.1	F35A5.1	259699	F35A5.1
171740_x_at	WBGene00000528	Cel.17014	Protein CLH-1	clh-1	174821	clh-1
171741_x_at	WBGene00016638	Cel.13329	Protein PERM-4	perm-4	176932	perm-4
171742_x_at	WBGene00004814	Cel.189	Protein SKR-8	skr-8	178495	skr-8
171743_x_at	WBGene00019357	Cel.37526	Protein CPG-8	cpg-8	178860	cpg-8
171744_x_at	WBGene00018817	Cel.32837	Protein F54D12.4	F54D12.4	173515	F54D12.4
171745_x_at	WBGene00004225	Cel.6081	Protein PTR-11	ptr-11	171609	ptr-11
171746_x_at	WBGene00008865	Cel.7223	Protein F15G9.1	F15G9.1	181184	F15G9.1
171747_x_at	WBGene00017707	Cel.15328	Protein F22E5.8	F22E5.8	173610	F22E5.8
171748_x_at	WBGene00006794	Cel.17967	Protein UNC-60	unc-60	178640	unc-60
171749_x_at	WBGene00021044	Cel.6872	Protein W05H7.1	W05H7.1	180482	W05H7.1
171750_x_at	WBGene00010813	Cel.34025	Protein PITP-1	pitp-1	175459	pitp-1
171751_x_at	WBGene00008003	Cel.23221	Protein C38D4.1	C38D4.1	175633	C38D4.1
171751_x_at	WBGene00008003	Cel.32705	Protein C38D4.1	C38D4.1	175633	C38D4.1
171752_x_at	WBGene00015966	Cel.5850	Protein C18C4.5	C18C4.5	178941	C18C4.5
171753_x_at	WBGene00003970	Cel.7299	Protein PEK-1	pek-1	181334	pek-1
171754_x_at	WBGene00012443	Cel.17640	Protein Y15E3A.4	Y15E3A.4	181623	Y15E3A.4
171755_x_at	WBGene00001996	Cel.10365	Protein HPL-2	hpl-2	176506	hpl-2
171756_x_at	WBGene00000667	Cel.31451	Protein COL-92	col-92	176528	col-92
171756_x_at	WBGene00000669	Cel.21379	Protein COL-94	col-94	259336	col-94
171757_x_at	WBGene00001996	Cel.10365	Protein HPL-2	hpl-2	176506	hpl-2
171758_x_at	WBGene00009888	Cel.38679	Protein F49E2.5	F49E2.5	181175	F49E2.5
171759_x_at	WBGene00010676	Cel.17122	Protein K08F4.1	K08F4.1	177879	K08F4.1
171760_x_at	WBGene00018967	Cel.5656	Protein F56D2.6	F56D2.6	175771	F56D2.6
171761_x_at	WBGene00004702	Cel.14262	Protein RSP-5	rsp-5	174073	rsp-5
171762_x_at	WBGene00012678	Cel.1812	Protein Y39B6A.16	Y39B6A.16	3565475	Y39B6A.16
171763_x_at	WBGene00022490	Cel.9626	Protein Y119D3B.13	Y119D3B.13	175283	Y119D3B.13
171764_x_at	WBGene00000528	Cel.17014	Protein CLH-1	clh-1	174821	clh-1
171765_x_at	WBGene00002240	Cel.181	Protein KSR-2	ksr-2	173085	ksr-2
171766_x_at	WBGene00009259	Cel.17867	Protein HPO-34	hpo-34	181340	hpo-34
171767_x_at	NA	NA	26S ribosomal RNA	rrn-3.56	13183151	rrn-3.56
171768_x_at	WBGene00000717	Cel.21323	Protein COL-144	col-144	179296	col-144
171768_x_at	WBGene00000599	Cel.34228	Protein COL-10	col-10	179298	col-10
171769_x_at	WBGene00017756	Cel.18123	Protein F23F12.12	F23F12.12	175927	F23F12.12
171770_x_at	WBGene00000668	Cel.21322	Protein COL-93	col-93	259335	col-93
171771_x_at	WBGene00018270	Cel.22159	Protein F41C3.4	F41C3.4	173819	F41C3.4
171772_x_at	WBGene00012458	Cel.8074	Protein ASH-2	ash-2	174838	ash-2
171773_x_at	WBGene00001502	Cel.17467	Protein FTT-2	ftt-2	181348	ftt-2
171774_x_at	NA	NA	NA	NA	NA	171774_x_at
171775_x_at	WBGene00014006	Cel.6028	Protein ZK596.1	ZK596.1	177982	ZK596.1
171776_x_at	WBGene00000465	Cel.23350	Protein CPG-1	cpg-1	175586	cpg-1
171777_x_at	WBGene00017547	Cel.5891	Protein F18A1.6	F18A1.6	174236	F18A1.6
171778_x_at	WBGene00012722	Cel.14081	Protein Y39G8B.1	Y39G8B.1	175047	Y39G8B.1
171779_x_at	WBGene00021353	Cel.16501	Protein IGLR-3	iglr-3	171771	iglr-3
171780_x_at	WBGene00012713	Cel.22981	Protein Y39E4A.3	Y39E4A.3	176716	Y39E4A.3
171781_x_at	WBGene00012344	Cel.16577	Protein TAG-210	tag-210	173205	tag-210
171782_x_at	WBGene00007653	Cel.8499	Protein CYSL-1	cysl-1	181209	cysl-1
171783_x_at	WBGene00006701	Cel.18169	Protein UBC-1	ubc-1	177170	ubc-1
171784_x_at	WBGene00000883	Cel.6641	Protein CYN-7	cyn-7	180027	cyn-7
171785_x_at	WBGene00016496	Cel.17532	Protein C37C3.2	C37C3.2	179165	C37C3.2
171786_x_at	WBGene00004447	Cel.8345	Protein RPL-33	rpl-33	174166	rpl-33
171787_x_at	WBGene00006066	Cel.452	Protein STO-4	sto-4	181350	sto-4
171788_x_at	WBGene00000832	Cel.38795	Protein CTN-1	ctn-1	171818	ctn-1
171789_x_at	WBGene00001168	Cel.22703	Protein EEF-1A.1	eef-1A.1	175975	eef-1A.1
171789_x_at	WBGene00001169	Cel.22703	Protein EEF-1A.1	eef-1A.1	175975	eef-1A.1
171790_x_at	WBGene00021576	Cel.6520	Protein FBXC-51	fbxc-51	173467	fbxc-51
171791_at	WBGene00003071	Cel.18450	Protein LRP-1	lrp-1	172520	lrp-1
171792_x_at	WBGene00006585	Cel.6415	Protein TNI-3	tni-3	180127	tni-3
171793_x_at	WBGene00003171	Cel.6646	Protein MEC-7	mec-7	181036	mec-7
171794_x_at	WBGene00021047	Cel.20064	Protein ZFP-3	zfp-3	180479	zfp-3
171795_x_at	WBGene00020039	Cel.143	Protein R12E2.14	R12E2.14	172001	R12E2.14
171796_x_at	WBGene00015339	Cel.22830	Protein C02E7.6	C02E7.6	178885	C02E7.6
171797_x_at	WBGene00004412	Cel.18297	Protein RPL-1	rpl-1	171853	rpl-1
171798_x_at	WBGene00004430	Cel.34110	Protein RPL-18	rpl-18	178342	rpl-18
171799_x_at	WBGene00009454	Cel.6623	Protein F36A2.7	F36A2.7	172692	F36A2.7
171800_x_at	WBGene00004431	Cel.6672	Protein RPL-19	rpl-19	172201	rpl-19
