Probe Set ID	Gene Symbol	Ensembl
171720_x_at	---	Y48E1B.14
171721_x_at	---	T01G9.2
171722_x_at	---	F56B3.11
171723_x_at	vit-4	F59D8.2
171724_x_at	cdc-25.1	K06A5.7
171725_x_at	col-160	F57B1.4
171726_x_at	---	---
171727_x_at	cyp-23A1	B0304.3
171728_x_at	---	C10G8.5
171729_x_at	---	B0286.4
171730_x_at	---	F11C7.3
171731_x_at	---	C08B11.3
171732_x_at	---	ZK637.7
171733_x_at	---	F23F12.9
171734_x_at	tag-174	F54D8.2
171735_x_at	col-147	T06E4.4
171736_x_at	sex-1	F44A6.2
171737_x_at	---	T12G3.1
171738_x_at	---	B0350.2
171739_x_at	---	K03C7.1
171740_x_at	---	T27D12.2
171741_x_at	---	C44B12.5
171742_x_at	skr-8	C52D10.9
171743_x_at	---	K03B4.7
171744_x_at	---	F54D12.4
171745_x_at	ptr-11	F56C11.2
171746_x_at	---	F15G9.1
171747_x_at	---	F22E5.8
171748_x_at	---	C38C3.5
171749_x_at	---	W05H7.1
171750_x_at	---	M01F1.7
171751_x_at	---	C38D4.1
171752_x_at	---	C18C4.5
171753_x_at	pek-1	F46C3.1
171754_x_at	---	Y15E3A.4
171755_x_at	---	K01G5.2
171756_x_at	col-94 /// col-92	W05B2.6 /// W05B2.1
171757_x_at	---	K01G5.2
171758_x_at	---	F49E2.5
171759_x_at	---	K08F4.1
171760_x_at	---	F56D2.6
171761_x_at	---	T28D9.2
171762_x_at	---	Y39B6A.16
171763_x_at	---	---
171764_x_at	---	T27D12.2
171765_x_at	---	F58D5.4
171766_x_at	---	F29G6.3
171767_x_at	---	---
171768_x_at	col-144 /// col-10	B0222.6 /// B0222.8
171769_x_at	---	F23F12.12
171770_x_at	col-93	W05B2.5
171771_x_at	---	F41C3.4
171772_x_at	---	Y17G7B.2
171773_x_at	---	F52D10.3
171774_x_at	---	---
171775_x_at	---	ZK596.1
171776_x_at	---	C07G2.1
171777_x_at	---	F18A1.6
171778_x_at	---	Y39G8B.1
171779_x_at	---	Y37E3.13
171780_x_at	---	Y39E4A.3
171781_x_at	tag-210	W08E3.3
171782_x_at	---	C17G1.7
171783_x_at	ubc-1	C35B1.1
171784_x_at	cyn-7	Y75B12B.2
171785_x_at	---	C37C3.2
171786_x_at	rpl-33	F10E7.7
171787_x_at	sto-4	Y71H9A.3
171788_x_at	---	Y23H5A.5
171789_x_at	eft-3	F31E3.5 /// R03G5.1
171790_x_at	---	Y46B2A.1
171791_at	lrp-1	F29D11.1
171792_x_at	tni-3	T20B3.2
171793_x_at	mec-7	ZK154.3
171794_x_at	---	W05H7.4
171795_x_at	---	R12E2.14
171796_x_at	---	C02E7.6
171797_x_at	---	Y71F9AL.13
171798_x_at	rpl-18	Y45F10D.12
171799_x_at	---	F36A2.7
171800_x_at	rpl-19	C09D4.5
171801_s_at	---	W03G11.4
171802_s_at	---	Y75B8A.24
171803_x_at	---	---
171804_x_at	---	Y22D7AL.10
171805_x_at	hil-3	F22F1.1
171806_x_at	---	W02B12.3
171807_x_at	---	C02E7.7
171808_x_at	---	F11C1.5
171809_s_at	---	F55A3.3
171810_x_at	---	---
171811_s_at	---	K01D12.15 /// K01D12.7
171812_x_at	oga-1	T20B5.3
171813_x_at	let-721	C05D11.12
171814_x_at	tba-2	C47B2.3
171815_x_at	opt-1	C06G8.2
171816_x_at	---	K02F3.10
171817_x_at	---	Y38F2AR.9
171818_x_at	---	C01G6.5
